fit_id,heldout,k,combo,variant,seed,sibling_in_train,n_train,macro_f1
195,frames,2,2wikimultihop+webshop,budget,0,True,1023,0.4125
196,frames,2,2wikimultihop+webshop,budget,1,True,1023,0.3977
197,frames,2,2wikimultihop+webshop,budget,2,True,1023,0.3754
198,frames,2,2wikimultihop+webshop,budget,3,True,1023,0.3711
199,frames,2,2wikimultihop+webshop,budget,4,True,1023,0.3787
200,frames,2,2wikimultihop+deepshop,raw,0,True,3078,0.4885
201,frames,2,2wikimultihop+deepshop,raw,1,True,3078,0.4949
202,frames,2,2wikimultihop+deepshop,raw,2,True,3078,0.4898
203,frames,2,2wikimultihop+deepshop,raw,3,True,3078,0.5056
204,frames,2,2wikimultihop+deepshop,raw,4,True,3078,0.4937
205,frames,2,2wikimultihop+deepshop,budget,0,True,1023,0.425
206,frames,2,2wikimultihop+deepshop,budget,1,True,1023,0.4248
207,frames,2,2wikimultihop+deepshop,budget,2,True,1023,0.4459
208,frames,2,2wikimultihop+deepshop,budget,3,True,1023,0.4771
209,frames,2,2wikimultihop+deepshop,budget,4,True,1023,0.435
210,frames,2,2wikimultihop+webgames,raw,0,True,3331,0.4294
211,frames,2,2wikimultihop+webgames,raw,1,True,3331,0.4271
212,frames,2,2wikimultihop+webgames,raw,2,True,3331,0.4102
213,frames,2,2wikimultihop+webgames,raw,3,True,3331,0.4169
214,frames,2,2wikimultihop+webgames,raw,4,True,3331,0.4215
215,frames,2,2wikimultihop+webgames,budget,0,True,1023,0.3962
216,frames,2,2wikimultihop+webgames,budget,1,True,1023,0.3527
217,frames,2,2wikimultihop+webgames,budget,2,True,1023,0.3916
218,frames,2,2wikimultihop+webgames,budget,3,True,1023,0.3947
219,frames,2,2wikimultihop+webgames,budget,4,True,1023,0.3948
220,frames,2,webshop+deepshop,raw,0,False,3077,0.3253
221,frames,2,webshop+deepshop,raw,1,False,3077,0.3345
222,frames,2,webshop+deepshop,raw,2,False,3077,0.3331
223,frames,2,webshop+deepshop,raw,3,False,3077,0.3379
224,frames,2,webshop+deepshop,raw,4,False,3077,0.338
225,frames,2,webshop+deepshop,budget,0,False,1023,0.303
226,frames,2,webshop+deepshop,budget,1,False,1023,0.3224
227,frames,2,webshop+deepshop,budget,2,False,1023,0.3077
228,frames,2,webshop+deepshop,budget,3,False,1023,0.2944
229,frames,2,webshop+deepshop,budget,4,False,1023,0.3119
230,frames,2,webshop+webgames,raw,0,False,3330,0.3299
231,frames,2,webshop+webgames,raw,1,False,3330,0.319
232,frames,2,webshop+webgames,raw,2,False,3330,0.3132
233,frames,2,webshop+webgames,raw,3,False,3330,0.3229
234,frames,2,webshop+webgames,raw,4,False,3330,0.3145
235,frames,2,webshop+webgames,budget,0,False,1023,0.2741
236,frames,2,webshop+webgames,budget,1,False,1023,0.3002
237,frames,2,webshop+webgames,budget,2,False,1023,0.2884
238,frames,2,webshop+webgames,budget,3,False,1023,0.3178
239,frames,2,webshop+webgames,budget,4,False,1023,0.2999
240,frames,2,deepshop+webgames,raw,0,False,2299,0.2898
241,frames,2,deepshop+webgames,raw,1,False,2299,0.2869
242,frames,2,deepshop+webgames,raw,2,False,2299,0.2739
243,frames,2,deepshop+webgames,raw,3,False,2299,0.2708
244,frames,2,deepshop+webgames,raw,4,False,2299,0.2805
245,frames,2,deepshop+webgames,budget,0,False,1023,0.306
246,frames,2,deepshop+webgames,budget,1,False,1023,0.2917
247,frames,2,deepshop+webgames,budget,2,False,1023,0.2775
248,frames,2,deepshop+webgames,budget,3,False,1023,0.276
249,frames,2,deepshop+webgames,budget,4,False,1023,0.2819
250,frames,3,2wikimultihop+webshop+deepshop,raw,0,True,5132,0.4909
251,frames,3,2wikimultihop+webshop+deepshop,raw,1,True,5132,0.4989
252,frames,3,2wikimultihop+webshop+deepshop,raw,2,True,5132,0.4888
253,frames,3,2wikimultihop+webshop+deepshop,raw,3,True,5132,0.4905
254,frames,3,2wikimultihop+webshop+deepshop,raw,4,True,5132,0.4893
255,frames,3,2wikimultihop+webshop+deepshop,budget,0,True,1023,0.4094
256,frames,3,2wikimultihop+webshop+deepshop,budget,1,True,1023,0.3749
257,frames,3,2wikimultihop+webshop+deepshop,budget,2,True,1023,0.409
258,frames,3,2wikimultihop+webshop+deepshop,budget,3,True,1023,0.4085
259,frames,3,2wikimultihop+webshop+deepshop,budget,4,True,1023,0.4267
260,frames,3,2wikimultihop+webshop+webgames,raw,0,True,5385,0.4436
261,frames,3,2wikimultihop+webshop+webgames,raw,1,True,5385,0.4466
262,frames,3,2wikimultihop+webshop+webgames,raw,2,True,5385,0.4449
263,frames,3,2wikimultihop+webshop+webgames,raw,3,True,5385,0.453
264,frames,3,2wikimultihop+webshop+webgames,raw,4,True,5385,0.4528
265,frames,3,2wikimultihop+webshop+webgames,budget,0,True,1023,0.4254
266,frames,3,2wikimultihop+webshop+webgames,budget,1,True,1023,0.3619
267,frames,3,2wikimultihop+webshop+webgames,budget,2,True,1023,0.3881
268,frames,3,2wikimultihop+webshop+webgames,budget,3,True,1023,0.3629
269,frames,3,2wikimultihop+webshop+webgames,budget,4,True,1023,0.4144
270,frames,3,2wikimultihop+deepshop+webgames,raw,0,True,4354,0.4834
271,frames,3,2wikimultihop+deepshop+webgames,raw,1,True,4354,0.4653
272,frames,3,2wikimultihop+deepshop+webgames,raw,2,True,4354,0.4718
273,frames,3,2wikimultihop+deepshop+webgames,raw,3,True,4354,0.4851
274,frames,3,2wikimultihop+deepshop+webgames,raw,4,True,4354,0.4759
275,frames,3,2wikimultihop+deepshop+webgames,budget,0,True,1023,0.3887
276,frames,3,2wikimultihop+deepshop+webgames,budget,1,True,1023,0.4128
277,frames,3,2wikimultihop+deepshop+webgames,budget,2,True,1023,0.4226
278,frames,3,2wikimultihop+deepshop+webgames,budget,3,True,1023,0.4071
279,frames,3,2wikimultihop+deepshop+webgames,budget,4,True,1023,0.4054
280,frames,3,webshop+deepshop+webgames,raw,0,False,4353,0.3417
281,frames,3,webshop+deepshop+webgames,raw,1,False,4353,0.3304
282,frames,3,webshop+deepshop+webgames,raw,2,False,4353,0.3248
283,frames,3,webshop+deepshop+webgames,raw,3,False,4353,0.3295
284,frames,3,webshop+deepshop+webgames,raw,4,False,4353,0.3405
285,frames,3,webshop+deepshop+webgames,budget,0,False,1023,0.3127
286,frames,3,webshop+deepshop+webgames,budget,1,False,1023,0.3246
287,frames,3,webshop+deepshop+webgames,budget,2,False,1023,0.3087
288,frames,3,webshop+deepshop+webgames,budget,3,False,1023,0.3033
289,frames,3,webshop+deepshop+webgames,budget,4,False,1023,0.293
290,frames,4,2wikimultihop+webshop+deepshop+webgames,raw,0,True,6408,0.4708
291,frames,4,2wikimultihop+webshop+deepshop+webgames,raw,1,True,6408,0.4677
292,frames,4,2wikimultihop+webshop+deepshop+webgames,raw,2,True,6408,0.4692
293,frames,4,2wikimultihop+webshop+deepshop+webgames,raw,3,True,6408,0.4655
294,frames,4,2wikimultihop+webshop+deepshop+webgames,raw,4,True,6408,0.4752
295,frames,4,2wikimultihop+webshop+deepshop+webgames,budget,0,True,1023,0.4101
296,frames,4,2wikimultihop+webshop+deepshop+webgames,budget,1,True,1023,0.4193
297,frames,4,2wikimultihop+webshop+deepshop+webgames,budget,2,True,1023,0.3657
298,frames,4,2wikimultihop+webshop+deepshop+webgames,budget,3,True,1023,0.4082
299,frames,4,2wikimultihop+webshop+deepshop+webgames,budget,4,True,1023,0.4023
300,webshop,1,2wikimultihop,raw,0,False,2055,0.2265
301,webshop,1,2wikimultihop,raw,1,False,2055,0.2334
